row_label,col_1,col_2
Total number of cases closed,"i 18, 887",100 0
"Before formal action, total",18863,90.9
Adjusted,16.356,86.6
Consent election--authouzed,15026,79.6
Consent election-not authorized,492,26
Stipulated election-authorized,58,.3
Stipulated election-not outbound,2,(2)
Regional director directed election-authorized,739,3.9
Regional director directed election-not authorized,39,2
•,,
Withdrawn,"I 2, 183",116
Dismissed,320,1.7
Otherwise,4,(2)
,,.1
"After formal action, total 4",11,
,1,(2)
Adjusted-consent election-authorized After board-ordered election-authorized,Adjusted-consent election-authorized After board-ordered election-authorized,(2)
After regional director directed election and hearing on objections,12,.1
,6,(2)
Authorized,2,F) 2)
Not authorized Withdrawn,2,
Dismissed,Dismissed,
,,(2)
