row_label,Amount
Personnel compensation,43790480
Personnel benefits,4146783
Travel and transportation of persons,2264843
Transportation of things,64840
"Rent, communications, and utilities",5946066
Printing and reproduction,586561
Other services,4494325
Supplies and materials,648452
Equipment,464984
Insurance claims and indemnities,45145
Total Agency obligations and expenditures,62452479
