row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Construction,20,O. 4,1654,0.2,7,30.0,6,30.0,2,10.0,5,25.0
Wholesale trade,238,4.9,10178,1.1,54,22.7,72,30.,15,6.3,97,40.8
Retail trade,90,1.8,8858,1.0,36,40.0,15,2 16.7,13,14.4,26,28.9
"Finance, insurance, and real estate",53,1.1,5423,0.6,17,32.1,12,22.6,7,13.2,17,32.1
"Transportation, communication, and other public utilities",390,7.9,64648,7.2,161,41.3,75,19.2,96,24.6,58,14.9
Highway passenger transportation,41,0.8,2963,0.3,22,53.7,1,2.4,11,26.8,7,17.1
Highway freight transportation,44,0.9,2654,O. 3,26,59.1,1,2.3,3,6.8,14,31.8
Water transportation,69,1.4,3204,O. 3,17,24.6,20,29.0,26,37.7,6,8.7
Warehousing and storage,31,0.6,1539,0.2,13,41.9,14,45.2,1,3.2,3,9.7
Other transportation,28,0.6,5471,5 6,7,25.0,14,50.0,2,7.1,5,17.9
Communication,68,1.4,32053,3.7,27,39.7,10,14.7,25,36.8,6,8.8
"Heat, light, power, water, and sanitary service__ _",109,2.2,15864,1.8,49,44.9,15,13.8,28,25.7,17,15.6
Services,69,1.4,6784,0.8,22,31.0,27,39.1,12,17.4,8,11.6
