row_label,State / Federal Region,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
Region IV (Atlanta — DHHS) — subtotal,4050,3507,2733,687,,,,,,,527,438,,82,,,
Region V (Chicago — DHHS) — subtotal,10020,8115,5716,1944,228,32,96,4,,66,1794,1399,51,344,51,12,73
Region VI (Dallas — DHHS) — subtotal,1806,1486,1092,283,,,,,,,305,228,,58,,,
Region VII (Kansas City — DHHS) — subtotal,1941,1497,1074,355,41,,,,,,,,,,,,
Region VIII (Denver — DHHS) — subtotal,873,655,,,,,,,,,200,147,,,,,
