Industrial group,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent,Valid votes cast / Number,Valid votes cast / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent
Total,4153,70.6,1126501,,1399,33.7,1766,42.5,416,10.0,573,13.8
Manufacturing,3307,79.6,1020318,90.6,1080,32.7,1628,49.3,348,10.5,491,14.8
Transportation equipment,366,8.8,291988,25.9,112,30.6,145,39.6,57,15.6,52,14.2
