row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
c .........n,n,N...,4,... 9,21,000000b. 0.,9,42,$,00 20
4 0.00 . ....mmt-04,g,0w..../.,g,40.4 02,N,4.0.0m0r 4mo,g .,g41$ .,"4,",m.m.
g . 4 . xranosm,4,gpa,g,0-5mgg,C.,STRRXg r=,N ..z,on 4,.0,mn Co
2 . 4 SOOPSWO-XS . -- - 9,g ...,"00000N 4.°""'",§,Sp§,i,Zt5RSPAIXR ..,§ 4,SUR 4,i,S0r
g i .......N.,Co,0000,Co,OWNW,Z,MOOMONO .,3,7 . 10t ■,0,0000
W 0.0000.00,,0.00,0,0000,Co,0.000.. 00,g,00g,0,0000
$ o0000000m,4,mom.,CO,.00m,Co,0000 CO,4,4..09,' C,.000
m V m44m$ oo 4 g,$,mr-0.,6 .,Co 009,$,oomwq$.0,4 . «,$.g,Co,00000
"0 m m.,",""" o",RZW-,2,Tig.-41:,Co,"a """"II= M """,1,,3,R'S'
"1 ,. 22202244@","0 .,",XN00,§,gmq .,0 ...,2$4132M1,Co,=I 'C.,,AVM°
R Co • 29399 42M0R3§ . . . o,§,ENR4,X «...,524g,§,24. A mt.. '2'82,' 0 4,GE4 o a 4,9 m,2 3-§°
CO .5. oa REIRIM -,1 .4,Mg,9 .4,MUM,0,EgEr ls.isg,g a,501 Co,i i,wilr
