Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Type of situation — CA — Number of situations,Type of situation — CA — Percent by size class,Type of situation — CB — Number of situations,Type of situation — CB — Percent by size class,Type of situation — CC — Number of situations,Type of situation — CC — Percent by size class,Type of situation — CD — Number of situations,Type of situation — CD — Percent by size class,Type of situation — CE — Number of situations,Type of situation — CE — Percent by size class,Type of situation — CG — Number of situations,Type of situation — CG — Percent by size class,Type of situation — CP — Number of situations,Type of situation — CP — Percent by size class,Type of situation — CA-CB combinations — Number of situations,Type of situation — CA-CB combinations — Percent by size class,Type of situation — Other C combinations — Number of situations,Type of situation — Other C combinations — Percent by size class
"4,000-4,999",130,0.5,95,0.5,35,0.6,,,,,,,,,,,,,,
"5,000-9,999",311,1.2,173,0.9,91,1.4,,,,,,,,,,,,,,
"Over 9,999",308,1.2,100,0.5,152,2.4,,,,,,,,,,,,,,
