Formal actions taken,All cases — Number of cases,All cases — Formal actions,NLRA C — Number of cases,NLRA C — Formal actions,CA — Number of cases,CA — Formal actions,Other C — Number of cases,Other C — Formal actions,NLRA R — Number of cases,NLRA R — Formal actions,LMRA R — Number of cases,LMRA R — Formal actions,UA — Number of cases,UA — Formal actions
Complaints issued,705,705,4,4,548,450,136,127,,,,,,
Notices of hearing issued,2625,2017,,,,,,,,,2599,1993,2257,1658
Cases heard,2733,2012,,,,,,,,,,,,
Intermediate reports issued,350,281,,,,,,,,,,,,
"Decisions issued, total",2951,2363,39,33,276,246,102,71,4,4,2479,1987,,
