row_label,Division and State,Total decided,Number of elections in which representative chosen — Total,Number of elections in which representative chosen — AFL-CIO unions,Number of elections in which representative chosen — Teamsters,Number of elections in which representative chosen — Other national unions,Number of elections in which representative chosen — Other local unions,Number of elections — No representative chosen,Total employees eligible to vote,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Valid votes cast for no union,Eligible employees in elections won by unions
Maine,15,10,6,1,,3,5,558,298,214,25,,,57,402,
New England (Division total),198,102,53,31,8,10,96,12357,5217,3475,950,,,5719,4938,
Middle Atlantic (Division total),983,470,266,126,28,32,515,53032,23927,15229,5170,1178,2350,24679,20491,
East North Central (Division total),,,,,,,,,,,,,,,,
