row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
M040N0,CO.,0.00.,N,.00N,CO,0.0000,,0C2000,CO .,00..,N,g
":7' .'4""'W'",,"0.0,0M",CO,,CO,-00-00,CO,CONCC0,1,MOZWR,R,0 g
::4 1 En2 -,4,7..'-=2,,4:*..°,g,"MW-°'""'",P,"q7.:""",CO co,9(-6;.' .,"1 """,CO CO N .-■
47 :ARE2,CO .,NLO . M . C . - 4,il,"COM.,0",,M22WMO.,A,".0,.. n",osi,.. n EE,N m,CO r
ME531,a,'78%°1,R,Elq4,R,"'."":""°`",E,"§P°8 _,","!,. ....-",4.: = 1E,R,R e
", . , 8rn",§ a,mv . q _ -,N,4PP g - .,g,:38;A g 1 g,N,RP g °P,P a,SV-1,g,g Li
"E v. 7...w,",E,----0,N,.- A-,CO,"0,0...",CO,"0 ,7,a. 2","CO ,E",.v.,,CO
.-a-00,CO -,.0-0.,,000.,CO,ow....,CO,.v...,CO,0...,CO,s
vv....,7t,00000N,N,"COMO,",CO,0000.0,,05300.,CO,00NM,N,
"A.,INN.",p,Nm.mm,C O 2,2 - E .,,MNO000N,N,M%.00,,".1'1..Nt.,2",R.,
si .ng'Z . .,CO,"0 "" ., , R",CO,"osi. ,7 v -",A -,", 2 ,-.-e.",A,"....,. .v.00A ,,r",CO v,",4 asg_o",CO,oi --
"4Pr'§4 ,' ..- -",P N N,g 354n,,gg't14,g,g- o gvN 'P,4,nc-l-r -,"t,; -,-","5,'IP",R,CO a
URRRR -»-r- -»,"E ,--",fi2E,v . --,M? - 9 ......_ .-,", --",P. nm,g,"r i g -17, co a",,E'An3,g -»,V R
rEEM,E 6 .,RUH _. 7,CO a,MI a,a,Pn'mP-,R,HVI a,i a,ETU,CO -,CO .- •eo
n g Rin aaa a--,g CO -,HUR --,E a,MA a,E a,RFIP,,EWE i--,i a,URR .-,Z a,A
,51 0,,,,,,,,,,,
