row_label,Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent,CA — Number of situations,CA — Percent by size class,CB — Number of situations,CB — Percent by size class,CC — Number of situations,CC — Percent by size class,CD — Number of situations,CD — Percent by size class,CE — Number of situations,CE — Percent by size class,CG — Number of situations,CG — Percent by size class,CP — Number of situations,CP — Percent by size class,CA-CB combinations — Number of situations,CA-CB combinations — Percent by size class,Other C-type combinations — Number of situations,Other C-type combinations — Percent by size class
Total,27084,100.0,,20159,100.0,5501,100.0,374,100.0,173,100.0,21,100.0,96,100.0,825,100.0,1230,100.0,,
Under 10,2023,7.5,7.5,1527,7.6,351,6.4,37,9.9,22,12.7,0,0.0,6,6.3,8,1.0,60,4.9,,
"Over 9,999",599,2.1,100.0,,,,,,,,,,,,,,,,,,
