Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible 1
Total,16,10,62.5,6,37.5,1068,323,30.2,745,69.8,971,90.9,296,27.7
AFL-CIO,12,8,66.7,4,33.3,853,260,30.5,593,69.5,792,92.8,241,28.3
Unaffiliated,4,2,50.0,2,50.0,215,63,29.3,152,70.7,179,83.3,55,25.6
