Subsection / combination,Number of cases showing specific allegations,Percent of total
Total,1337,100.0
8(b)(1),114,8.5
8(b)(2),261,19.5
8(b)(3),64,4.8
8(b)(4),244,18.3
8(b)(5),3,.2
8(b)(6),12,.9
8(b)(1)(2),441,33.0
8(b)(1)(3),61,4.6
8(b)(1)(4),42,3.1
8(b)(1)(5),2,.1
8(b)(1)(6),11,.8
8(b)(2)(4),2,.1
8(b)(2)(5),1,.1
8(b)(2)(6),9,.7
8(b)(3)(6),3,.2
8(b)(4)(6),2,.1
8(b)(5)(6),1,.1
8(b)(1)(2)(3),21,1.6
8(b)(1)(2)(4),24,1.8
8(b)(1)(2)(5),3,.2
8(b)(1)(3)(4),2,.1
8(b)(1)(4)(6),1,.1
8(b)(1)(5)(6),1,.1
8(b)(1)(2)(3)(4),1,.1
8(b)(1)(2)(3)(5),6,.5
8(b)(1)(2)(3)(6),1,.1
8(b)(1)(2)(4)(5),4,.3
8(b)(1)(2)(4)(6),1,.1
8(b)(1),722,54.0
8(b)(2),778,58.2
8(b)(3),170,12.7
8(b)(4),341,25.5
8(b)(5),11,.8
8(b)(6),34,2.5
8(b)(1)(A),691,51.7
8(b)(1)(B),55,4.1
