Type of election,All R elections — Total elections,All R elections — Withdrawn or dismissed before certification,All R elections — Resulting in rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed before certification,RC elections — Resulting in rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed before certification,RM elections — Resulting in rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed before certification,RD elections — Resulting in rerun or runoff,RD elections — Resulting in certification
All types,9660,70,221,9369,8800,64,210,8526,401,3,8,390,459,3,3,453
Rerun required (All types),,,164,,,,155,,,,6,,,,3,
Runoff required (All types),,,57,,,,55,,,,2,,,,0,
Consent elections,1553,9,23,1521,1380,9,20,1351,78,0,3,75,95,0,0,95
Stipulated elections,6247,38,141,6068,5733,34,135,5564,238,3,5,231,275,1,0,273
Regional director-directed,1765,23,55,1687,1627,21,53,1553,52,0,0,52,86,2,2,82
Board-directed,57,0,2,55,55,0,2,53,0,0,0,0,2,0,0,2
Expedited — See 8(b)(7)(C),38,0,0,38,0,0,0,0,8,0,0,30,0,0,0,0
