Stage of disposition,All cases — Number,All cases — Number of workers involved,Cases filed by A. F. of L. affiliates — Number,Cases filed by A. F. of L. affiliates — Number of workers involved,Cases filed by C. I. O. affiliates — Number,Cases filed by C. I. O. affiliates — Number of workers involved,Cases filed by unaffiliated unions — Number,Cases filed by unaffiliated unions — Number of workers involved,Cases filed by employers — Number,Cases filed by employers — Number of workers involved
"Cases pending July 1, 1940",747,401016,345,190301,250,152156,132,71687,19,6564
"Cases received, July 1940-June 1941",4334,1188068,2015,654099,1755,503304,473,105807,73,8074
"Cases on docket, July 1940-June 1941",5081,1589104,2361,591460,2015,756617,605,201994,92,8989
"Cases closed, July 1940-June 1941",3698,1055243,1707,448315,1514,450696,402,136566,71,13121
Cases closed before formal action,2874,609064,1129,248743,1131,207538,297,100495,57,10591
Cases closed after formal action,824,446179,578,212067,385,201461,100,27071,14,2595
