Division and State,Total elections,Number of elections in which representation chosen — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible employees in elections won by union
Pacific — California,318,166,91,65,,,152,16154,14202,6469,5915,2017,326,,,
Pacific — Washington,91,44,26,11,7,,47,4232,3575,1876,1233,102,364,,1599,
Pacific TOTAL,501,252,144,85,6,17,249,36233,21199,10084,8066,2606,547,865,11115,11241
Outlying Areas — Puerto Rico,39,23,6,0,4,12,16,1994,1689,1146,389,0,166,591,543,
Outlying Areas TOTAL,45,25,7,1,4,13,20,2018,1756,1179,400,0,166,613,577,
"Total, all States and area",2993,1492,921,411,60,100,1498,185556,162649,75599,51559,15202,3208,5932,86690,67370
