row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative chosen,Total employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Valid votes cast for no unions,Eligible employees in elections won by unions
Nevada,,,,,,,,,,,,,,,,,
Mountain (Division total),37,14,11,0,0,0,23,1455,1282,571,470,73,9,19,711,692,
Washington,36,8,8,0,0,0,28,1196,943,379,342,32,0,5,564,428,
California,89,18,17,1,0,0,61,3048,2643,1378,1062,273,0,43,1265,1978,
Pacific (Division total),148,38,27,10,1,0,110,4663,3926,1853,1455,322,58,17,2074,2450,
Outlying Areas (Puerto Rico + Virgin Islands subtotal),5,1,1,0,0,0,4,343,309,108,108,0,0,0,201,186,
"Total, All States and Areas",644,185,125,43,12,4,459,28241,24720,12197,9182,1873,216,926,16044,11318,
