Standard Federal Regions,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Union deauthorization cases / RD,Amendment of certification cases / UD,Unit clarification cases / AC,UC
Region IV (totals),4090,3374,2577,724,41,12,0,20,0,689,530,22,137,7,2,18
Region V (totals),10215,8031,5670,1849,315,104,5,88,0,2016,1420,112,484,101,5,62
Region VI (totals),2261,1906,1442,441,16,4,1,2,0,339,235,26,78,2,6,8
Region VII (totals),1898,1471,1027,341,73,18,2,10,0,392,283,21,88,,1,13
"Per-state detail rows (South Carolina, Tennessee, Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, Arkansas, Louisiana, New Mexico, Oklahoma, Texas, Iowa, Kansas, Missouri, Nebraska, Colorado, Montana, North Dakota, South Dakota, Utah, Wyoming); see PDF",,,,,,,,,,,,,,,,
