Method and stage of disposition,All cases — Number,All cases — Percent of total closed,All cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Before issuance of complaint,9111,30.5,97.5,7023,30.0,1864,30.4,155,31.9,15,7.9,14,38.9,7,31.8,33,38.8
"After issuance of complaint, before opening of hearing",170,0.6,1.8,159,0.7,9,0.1,1,0.2,0,0,0,0,0,0,1,1.1
Dismissal — total,9109,30.5,100.0,5826,24.9,3137,51.1,98,20.4,8,4.2,10,27.8,6,27.3,24,28.2
Dismissal — Before issuance of complaint,8927,29.4,98.0,5673,24.2,3113,50.8,94,19.6,8,4.2,10,27.8,6,27.3,23,27.1
10(k) actions (see Table 7A for details of disposition),138,0.5,,0,0,0,0,0,0,138,72.6,0,0,0,0,0,0
Otherwise compromised with order of administrative law judge or Board before issuance of complaint,162,0.5,,0,0,149,2.4,0,0,0,0,0,0,0,0,0,0
