Stage of disposition,All R cases - Number of cases,All R cases - Percent of cases closed,RC cases - Number of cases,RC cases - Percent of cases closed,RM cases - Number of cases,RM cases - Percent of cases closed,RD cases - Number of cases,RD cases - Percent of cases closed,UD cases - Number of cases,UD cases - Percent of cases closed
Total number of cases closed,11114,100.0,8904,100.0,606,100.0,1604,100.0,257,100.0
Before issuance of notice of hearing,3156,28.4,2023,22.7,332,54.8,801,49.9,164,63.8
"After issuance of notice, before close of hearing",5925,53.3,5137,57.7,192,31.7,596,37.2,22,8.6
"After hearing closed, before issuance of decision",96,0.9,74,0.8,4,0.7,18,1.1,2,0.8
After issuance of regional director's decision,1891,17.0,1627,18.3,77,12.7,18,11.7,69,26.8
After issuance of Board decision,46,0.4,43,0.5,1,0.2,2,0.1,,
