row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases (UD),Amendment of certification cases (AC),Unit clarification cases (UC)
Nevada,470,419,301,93,12,7,5,0,1,47,29,6,12,0,0,4
Mountain (subtotal),2841,2273,1661,506,65,17,5,0,19,510,310,58,122,18,2,38
Washington,1498,1141,769,235,103,18,2,0,14,315,167,25,123,18,0,12
California,6348,5099,3425,1094,261,71,22,0,87,1219,766,202,251,70,5,55
Pacific (subtotal),8996,6926,4719,1485,457,84,33,0,118,1855,1083,285,487,106,8,101
Outlying areas (Puerto Rico + Virgin Islands subtotal),311,195,149,42,0,1,0,0,0,105,85,3,17,2,0,7
"Total, all States and areas",47210,38097,27749,7344,1476,435,70,48,375,8276,5605,707,1964,305,49,483
