row_label,Industrial group,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Mining (subtotal — Metal/Coal/Oil-Gas/Nonmetallic-minerals),754,663,542,93,21,2,2,1,2,90,66,6,18,1,0,0,
Construction,4824,3594,1109,1209,1036,149,0,0,0,1212,1055,104,53,16,1,1,
Wholesale trade,2233,1649,1249,313,33,5,0,1,5,499,395,23,75,23,3,12,
Retail trade,4668,3599,2580,464,366,11,0,0,5,928,601,73,254,29,5,26,
"Finance, insurance, and real estate",732,569,498,63,5,0,0,0,0,146,127,9,10,8,1,5,
