Stage and method,Number of cases,Percent of cases closed,Percent of cases on docket
Cases on docket during the year,3633,,100.0
Total number of cases closed,2308,100.0,63.5
"Before formal action, total",2022,87.6,55.6
Before formal action — Adjusted,478,20.7,13.1
Before formal action — Withdrawn,1188,51.5,32.7
Before formal action — Dismissed,355,15.4,9.8
Before formal action — Closed otherwise,1,,
"After formal action, total",286,12.4,7.9
After formal action — Before hearing,29,1.2,0.8
After formal action — Before hearing — Adjusted,19,0.8,0.5
After formal action — Before hearing — Withdrawn,8,0.3,0.2
After formal action — Before hearing — Dismissed,2,0.1,0.1
After formal action — After hearing,29,1.2,0.8
After formal action — After hearing — Adjusted,7,0.3,0.2
After formal action — After hearing — Compliance with Intermediate Report,14,0.6,0.4
After formal action — After hearing — Withdrawn,5,0.2,0.1
After formal action — After hearing — Dismissed,3,0.1,0.1
After formal action — After hearing — Closed otherwise,0,0.0,
After Board decision,71,3.1,2.0
After Board decision — Compliance,56,2.5,1.6
After Board decision — Dismissed,12,0.5,0.3
After Board decision — Closed otherwise,3,0.1,0.1
After Court action,157,6.9,4.3
After Court action — Compliance with consent decree,58,2.5,1.6
After Court action — Compliance with court order,96,4.2,2.6
After Court action — Dismissed,3,0.1,0.1
After Court action — Closed otherwise,0,0.0,
