Action taken,Total all,Employer - Total,Employer - Informal settlement,Employer - Formal settlement,Employer - Recommendation of administrative law judge,Employer - Order of Board,Employer - Order of Court,Union - Total,Union - Informal settlement,Union - Formal settlement,Union - Recommendation of administrative law judge,Union - Order of Board,Union - Order of Court
Declined,335,335,169,0,2,89,75,,,,,,
Employees placed on preferential hiring list,408,408,363,0,14,0,31,,,,,,
Hiring hall rights restored,96,,,,,,,96,96,0,0,0,0
Objections to employment withdrawn,7,,,,,,,7,7,0,0,0,0
Employees receiving backpay: From either employer or union,14825,14554,10636,6,646,942,2324,271,147,0,0,1,123
From both employer and union,14,9,9,0,0,0,0,5,5,0,0,0,0
"Employees reimbursed for fees, dues, and fines: From either employer or union",3675,232,147,0,85,0,0,3443,3442,0,0,0,1
From both employer or union,1053,1020,757,0,0,11,252,33,33,0,0,0,0
"C. By amounts of monetary recovery, total",77611322,76640004,30660482,264598,3151354,6469505,36094065,971318,901544,0,0,38122,31652
"Backpay (includes all monetary payments except fees, dues, and fines)",76337306,75754271,30077089,264598,2853948,6465022,36093614,583035,521681,0,0,38122,23232
"Reimbursement of fees, dues, and fines",1274016,885733,583393,0,297406,4483,451,388283,379863,0,0,0,8420
