row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Maine,10,5,3,1,1,5,525,504,202,126,16,60,302,174
New Hampshire,11,5,5,0,0,6,1046,1000,354,354,0,0,646,80
Vermont,2,1,1,0,0,1,23,21,15,15,0,0,6,15
Massachusetts .,87,39,36,1,2,48,4234,4049,1901,1362,330,209,2148,1382
Rhode Island .... ....... .,11,7,7,0,0,4,1765,1631,927,927,0,0,704,1316
Connecticut,46,26,20,2,4,20,2210,1862,950,695,7,248,912,1069
New England ......... ....... . ......... ......,167,83,72,4,7,84,9803,9067,4349,3479,353,517,4718,4036
New York New Jersey,232 143,136 77,115 65,9 1,12,96 66,"14,180 6,245","11,379 5,286","6,279 3,076","5,020 2,439",664 32,595 605,"5,100 2,210","7,487 3,628"
,,,84,10,11 11,95,18319,16066,7414,5878,348,1188,8652,5878
Pennsylvania ...... ..... Middle Atlantic,200 575,105 318,264,20,,,,,,,,2388,15962,16993
Ohio .,174,,,4,34,257 92,"38,744 11,703","32,731 10,563","16,769 4,653","13,337 4,560","1,044 75",,5910,3740
Indiana,84,82 36,77 31,2,1 3,48,5805,5511,2448,2336,101,18 11,3063,1382
Illinois ....... ........... . . ..,177,71,,5,6,106,8073,7135,3275,2828,186,261,3860,
Michigan,154,70,60 67,0,3,84,7837,6998,3068,2893,74,101,3930,2850
,81,,,1,,44,,,,,,,1650,"2,554 2,106"
Wisconsin,,37,35,,1,,3748,3315,1665,1511,86,68,,
East North Central ...... .................... . ....... ........,670,296,270,12,14,374 25,"37,166 2,658",33522,15109,14128,522,459,18413,"12,632 857"
Iowa . Minnesota,53 99,28 55,28 53,0 0,0 2,44,4850,"2,321 4,189","1,032 1,917","1,026 1,860",6 0,0 57,"1,289 2,272",1539
Mosoun,103,46,46,0,0,57,5533,4931,2273,2273,0,0,2658,1805
North Dakota,3,1,1,0,0,2,112,91,32,32,0,0,59,65
South Dakota,5,1,1,0,0,4,232,207,68,68,0,0,139,5
Nebraska,17,11,11,0,0,6,373,293,154,154,0,0,139,230
Kansas,33,18,18,0,0,15,2354,2183,1041,1041,0,0,1142,932
,313,160,158,,,,16112,14215,6517,,,,,
West North Central,,,,0,2,153,,,,6454,6,57,7698,5433
