Subsection,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a) — Total cases,10695,100 0
8(a)(1),875,8 2
8(a)(2),227,2 1
8(a)(3),6007,56 2
Remaining 8(a) subsections + totals (8(a)(1)-(5)),,
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b) — Total cases,4886,100 0
8(b)(1),743,15 3
8(b)(2),157,3 2
8(b)(4),1626,33 3
8(b)(7),419,8 6
Remaining 8(b) subsections + (8(b)(1)-(7)),,
B1. ANALYSIS OF 8(b)(4) — Total cases,1626,100 0
B1,,
B2. ANALYSIS OF 8(b)(7) — Total cases,419,100 0
B2,,
C. CHARGES FILED UNDER SEC. 8(e) — Total cases 8(e),69,100 0
Against unions alone,45,66 7
Against employers alone,1,1 4
Against union and employers,,
