Method and stage of disposition,All C cases — Number,All C cases — Per cent of total cases closed,All C cases — Per cent of total method closed,CA cases — Number,CA cases — Per cent of total cases closed,CB cases — Number,CB cases — Per cent of total cases closed,CC cases — Number,CC cases — Per cent of total cases closed,CD cases — Number,CD cases — Per cent of total cases closed,CE cases — Number,CE cases — Per cent of total cases closed,CG cases — Number,CG cases — Per cent of total cases closed,CP cases — Number,CP cases — Per cent of total cases closed
By circuit court of appeals decree,11,0.0,0.1,11,0.0,0,,0,,0,,0,,0,,0,
By Supreme Court action,0,,,0,,0,,0,,0,,0,,0,,0,
10(k) actions (see Table 7A for details of dispositions),273,0.8,,0,,0,,0,,273,98.2,0,,0,,0,
Otherwise (compliance with order of administrative law judge or Board not achieved — firm went out of business),132,0.4,,118,0.5,11,0.1,3,0.3,0,,0,,0,,0,
