row_label,Division and State,Total elections / Total,Number of elections in which representation rights were won by unions / Total,Number of elections in which no representative was chosen / AFL-CIO unions,Number of employees eligible to vote / Other national unions,Total valid votes cast / Other local unions,Valid votes cast for unions / Number of elections in which no representative was chosen,Eligible employees in units choosing rep no union / Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Other national unions,Other local unions,Eligible employees in units choosing rep no union
New England,22,13,11,1,1,9,878,373,324,324,0,0,40,376
Middle Atlantic,81,28,22,4,2,53,3313,2377,1411,1314,41,156,1306,1729
East North Central,112,33,32,1,0,79,4373,4597,1964,1868,9,90,2633,3226
