Union affiliation,Elections participated in / Total,Elections participated in / Resulting in certification / Number,Elections participated in / Resulting in certification / Percent of total,Elections participated in / Resulting in decertification / Number,Elections participated in / Resulting in decertification / Percent of total,Employees involved in elections (number eligible to vote) / Total eligible,Employees involved in elections (number eligible to vote) / Resulting in certification / Number,Employees involved in elections (number eligible to vote) / Resulting in certification / Percent of total eligible,Employees involved in elections (number eligible to vote) / Resulting in decertification / Number,Employees involved in elections (number eligible to vote) / Resulting in decertification / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total elections,141,44,31.2,97,68.8,9945,4869,49.0,5076,51.0,8947,90.0,4558,50.9
A F L,83,23,27.7,60,72.3,5141,1973,38.4,3168,61.6,4523,88.0,2109,46.6
C I O,45,18,40.0,27,60.0,3528,2185,61.9,1343,38.1,3248,92.1,1847,56.9
Unaffiliated,13,3,23.1,10,76.9,1276,711,55.7,565,44.3,1176,92.2,602,51.2
