row_label,col_1,col_2
"General Motors Corporation, Detroit Transmission Division",29,99
"General Motors Corporation, General Motors Building Division",30,
"General Motors Corporation, Grand Rapids Stamping Division of Fisher Body Division",,96
,30,160
"General Motors Corporation, Harrison Radiator Division",32,58
"General Motors Corporation, Inland Manufacturing Division",30,69
"General Motors Corporation, Moraine Products Division",29,157
"General Motors Corporation, Packard Electric Division",32,144
"General Motors Corporation, Saginaw Malleable Iron Division",30,125
"General Motors Corporation, Ternstedt-Trenton Division",29,22
Geyer Manufacturing Co,30,79
Harper J. Ransburg Company Harris-Seybold-Potter Company,32 29,106 156
"Hi-Flier Manufacturing Co., The",,31
,28,117
"International Harvester Company International Harvester Company, Pittsburgh Truck Branch",31 31,117
Interstate Metal Products Co,28,158
J. & D. Box and Crate Company,29,119
Kearney & Trecker Corporation,,
Kroehler Manufacturing Co,27 29,12 154
Lamm Lumber Company,28,126
"Linen Thread Co., Inc., The, a body corporate",29,123
Long-Bell Lumber Company,33,8
"Lyons-Magnus, Inc",30,23
"Madison Company, The H W.",32,109
,28,116
Magill-Weinsheimer Company Monarch Box and Lumber Company,30,12
Nevada Consolidated Copper Corporation,28,6
Nevada Consolidated Copper Corporation,98,16
"New Idea, Inc",,
Nicoll and Company,30 29,161 128
Pacific Box Corporation,,120
Page Engineering Company,29,108
"Picker X-Ray Corporation, Waite Manufacturing Division, Inc_",32 32,62
"Richman Brothers Company, The",33,18
Standard Cap and Seal Corporation,32,61
"Sinclair Refining Co., Inc",,88
"Steel Tank and Pipe Company of California, The",29 27,167
Thermoid Company,27,175
"United Motors Service, Inc",31,163
Van Camp Milk Co,,13
"Vickers, Inc",33 28,156
Virginia Smelting Company,27,166
"Vultee Aircraft, Inc., Stinson Aircraft Division",29,
Washington Daily News Company,28,153
,,81
Wooden Box and Novelty Company,29,124
"Yellow Truck and Coach Manufacturing Company Yellow Truck & Coach Manufacturing Company, General Motors",30,74
Truck & Coach Division,,
