Method and stage of disposition,All R cases Number,All R cases Percent,RC cases Number,RC cases Percent,RM cases Number,RM cases Percent,RD cases Number,RD cases Percent
Total number of cases closed,10981,100.0,9480,100.0,853,100.0,648,100.0
Consent election,3450,31.4,3132,33.0,202,23.7,116,17.9
Consent — Before notice of hearing,2287,20.8,2060,21.7,158,18.5,69,10.6
"Consent — After notice of hearing, before hearing closed",1141,10.4,1052,11.1,43,5.4,46,7.1
"Consent — After hearing closed, before decision",22,.2,20,.2,1,.1,1,.2
Stipulated elections,1964,17.9,1844,19.4,82,9.6,38,5.9
Stipulated — Before notice of hearing,886,8.1,818,8.6,48,5.6,20,3.1
"Stipulated — After notice of hearing, before hearing closed",802,7.3,764,8.1,26,3.0,12,1.9
"Stipulated — After hearing closed, before decision",13,.1,12,.1,0,0,1,.2
Stipulated — After postelection decision,263,2.4,250,2.6,8,0.9,5,0.8
Expedited elections 8(b)(7)(C),29,.3,4,0,25,2.9,0,0
Expedited — Before notice of hearing,27,.2,4,0,23,2.7,0,0
"Expedited — After notice of hearing, before hearing closed",2,.0,0,0,2,.2,0,0
Withdrawn,2753,25.0,2229,23.5,283,33.2,241,37.2
"Withdrawn — After hearing closed, before decision",76,.7,69,.7,6,.7,1,.2
Withdrawn — After regional director decision and direction of election,136,1.2,127,1.3,8,.9,1,.2
Withdrawn — After Board decision and direction of election,19,.2,19,.2,0,0,0,0
Dismissed,988,9.0,646,6.8,166,19.5,176,27.1
Dismissed — Before notice of hearing,570,5.2,338,3.6,103,12.1,129,19.9
"Dismissed — After notice of hearing, before hearing closed",97,.9,61,.6,16,1.9,20,3.1
Dismissed — By regional director decision,249,2.3,200,2.1,30,3.5,19,2.9
Dismissed — By Board decision,59,.5,40,.4,14,1.6,5,0.8
Regional director-ordered election,1644,15.0,1485,15.7,84,9.8,75,11.6
Board-ordered election,153,1.4,140,1.5,11,1.3,2,.3
