row_label,col_1
2-R-5796,"Standard Steel Sections, Inc."
16-R-1500,Stanolind Oil & Gas Co.
11-R-858,Star Publishing Co.
2-R-6402,Star Tool & Mfg. Co.
14-R-1237,Sterling Steel Casting Co.
15-R-1453,"Sterling Sugars, Inc."
1-R-2675,"Stevens, M. T., Sons Co."
11-R-851,"Stokely Food, Inc."
2-R-5672,Sullivan Drydock & Repair Corp.
19-R-1795,Sullivan Mining Co.
13-R-3324,Sundstrand Machine Tool Co.
13-R-3248,Superior Engraving Co.
18-R-1399,Superior Metal Products Co.
16-R-1700,Superior Mfg. Co.
7-R-2009,Sutherland Paper Co.
1-R-2556,Swift & Co.
8-R-1909,Swift & Co.
10-R-1615,Swift & Co.
13-R-3149,Swift & Co.
15-R-1508,Swift & Co.
16-R-1424,"Swift ,& Co."
16-B-1355,Swift & Co.
16-R-1713,Swift & Co.
17-R-1169,Swift & Co.
17-R-1176,Swift & Co.
18-R-1335,Swift & Co.
18-R-1351,Swift & Co. Swift & Co.
19-R-1661,"Synthetic Yarns, Inc."
1-R-2748,
2-R-5693 6-R-1355,"'Talon, Inc. Talon, Inc."
10-R-1512,"Tamiami Trail Tours, Inc. Taylor-Colquitt Co."
,Fibre Co.
10-R-1583,
4-R-1776,Taylor Taylor Forge & Pipe
13-R-3216 2-R-5712,Works. Marine
11-R-876,"Technical Maintenance Co., Inc. Tell City Chair Co. ."
,Tell City. Desk Co.
11-R-885 11-R-881,"Tell City Furniture Co., Inc. .."
11-R-893,"Tell, William, Wood Crafters, Inc. Coal, Iron & Railroad"
10-R-1628,"Tennessee Co. Foundry & Machine Co.,"
10-R-1629 9-R-1964,Tennessee Inc. Teianessee Gas & Transmission Co.
2-R-5668,Texas Co.; The.
14-R-1250 15-R-1612,"Texas Co., The. Co., The."
,Texas
16-R-1238,"Texas Co., The. ."
16-R-1675,"Texas Co., The. Co., The."
21-R-2923 16-R-1660,"Texas Texas Pipe Line Co.,"
,Star
16-R-1627,The. Broadcasting
8-R-2169,Texas Co. Textile Leather Corp.
4-R-1692,"'Textile Machine Works, Inc. Thatcher Mfg. Co."
"3-41-1082 , 11-R-954",Thomas & Skinner Steel
10-R-1529,Co. Cotton Mill.
,Products Thomaston
,Thomasville Chair Co.
5-R-1964,"Products,"
8-11-1989 21-R-3117,"Thompson Inc. Thompson Products, Inc."
10-11-1847 2-R-5795,Thompson Weiman & Co. s! Tickle Arthur Engineering Inc. Associated Oil
2-R-5428,"Works, Tidewater Co., Inc. Tidewater Associated Oil Co.,. Inc."
2-R-5736,
,"Timm Industries, Inc."
21-11-3303,
,By-Products & Chemical
,Corp.
5-11-1987,Tobacco
