row_label,col_1,col_2,col_3
34-RC-59,"Erwin Cotton Mills Co., Plant No. 7.",32-RC-22 20-RC-16,"Frolic Foot Wear, Inc. Fruitvale Canning Co."
21-RC-556,Essex Wire Corp.,2-RC-163,"Fuller, George A., Co."
15-RC-201,Ethyl Corp.,,
15-RC-89,"Eunice Iron Works, Inc.",6-RC-221,G. G. G. Metal Stamp-
19-RC-106,"Everett Automotive Jobbers .Association, The.",1-RC-264,"ing Co., Inc. Galt Block Warehouse, Co, The."
3-RC-151,Everybody's Daily Pub- lishing Co.,39-RC-33,Galveston Cotton Ex- change & Board of
5-RC-1,Excelsior Pearl Work Inc.,30-RC-130 2-RC-723,"Trade. Gardner Denver Co. Gary Enterprises, Inc."
10-RC-239,"Fairbanks Co., The.",34-RC-51,Gate City Transit Co.
2-RC-315,Fairchild Camera & In- strument Co.,15-RC-82,Gaylord Container Corp.
10-RC-401,Fairchild Engine & Air- plane Corp.,16-RC-292,"Geier-Jackson, Inc."
5-RC-164,Fairchild Engine & Air- plane Corp (Aircraft Di vision) .,15-RC-236,"George C. Lucas, Trus- tee of The May Brothers."
39-RC-22,Inc.,3-RC-116,General Aniline & Film
39-RC-83,Fairmont Foods Fairmont Food Co.,3-RC-40,Corp. General Aniline &
3-RC-94,Fairmont Foods Co.,,"Film Corp., Ansco Division"
18-RC-123,Fairmont Foods Co. Fall River Gas,32-RC-93,of. General Beverage Co.
1-RC-865 15-RC-126,Works Co. Faulk-Collier Bonded,14-RC-301 10-RC-337,General Box Co. General Broadcasting Co.
1-RC-231,"Warehouses, Inc. Fayscott Corp.",4-RC-286,General Ceramics Co. General Die & Stamping
4-RC-233,Federal Creosoting Co.,3-RC-238,
8-RC-355,Ferry Cap & Set Screw Co.,3-RC-90,Co. General Electric Co.
13-RC-600,"Filing Equipment Bu- reau of Illinois, Inc.",20-RC-101 8-RC-121,General Electric Co. General Electric Co.
2-RC-378,Finkel Umbrella Frame,10-RC-132,General Electric Co. Electric
13-RC-287,Co. Firestone Tire & Rub-,16-RC-186 1-RC-383,General Co. General Electric Co.
1-RC-334,ber Co. Fitchburg Paper Co.,1-RC-800 13-RC-232,General Electric Corp. General Electric
3-RC-223,"Fitzsimons, John J.",,Motor Co.
16-RC-355 15-RC-90,"Fleming & Son, Inc.",21-RC-632,General Electric Supply Corp.
15-RC-120,"Flintkote Co., The. Flintkote Co, The.",13-RC-622,General Mills Inc.
,Flodin Lumber Co.,,
19-RC-223,,35-RC-51,General Motors Corp.
10-RC-476,Florida Wholesale Gro-,35-RC-71,General Motors Corp.
,"cery Co., Inc.",7-RC-93,General Motors Corp. General Motors
13-RC-252,Florsheim Retail Boot Shop.,13-RC-176 8-RC-368,Corp. General Motors Corp.
-4-RC-119,Fogel Refrigerator Co.,21-RC-65,"General Motors Corp.,"
10-RC-155,Foote & Davies. Ford Motor Co.,,Chevrolet Division.
8-RC-147,Ford Motors Co. coln Mercury,7-RC-45,"General Motors Corp.,"
21-RC-236,(Lin- Divi- sion).,,Buick Motor Divi- sion.
10-RC-192 21-RC-446,"Foremost Dairies, Inc. Forster Shipbuilding",20-RC-284,General Nailing Mach- ine Corp.
16-RC-214,"Co., Inc. Fort Worth Steel Ma-",19-RC-47 21-RC-118,General Petroleum Co. General Petroleum
,chinery Co.,10-RC-33,Corp. General Plywood Corp.
16-RC-115 18-RC-354,Foster Wheeler Corp. Fox Abbott Lumber Co.,10-RC--387,"General Steel Tank Co.,"
,Franklin Laundry.,16-RC-50,Inc. General Tire & Rubber
5-RC-159,French Oil Mill,,Co.
8-RC-253,"Ma- chinery Co., The.",10-RC-412,Georgia Fertilizer Co.
6-RC-106,Frick Co.,7-RC-41,Gerity Michigan Corp.
