row_label,col_1,Injunction proceedings / Total proceedings,"Injunction proceedings / Pending in district court Oct. 1, 1986 / Filed in district court fiscal year 1987",Total decided fiscal year 1987,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed / Inactive,"Pending in district court Sept. 30, 1987"
Under Sec. 10(j) total,0,0,0,0,0,0,0,0,0,0
Under Sec. 10(l) total,32,5,27,23,15,0,0,8,0,9
10(l)(1) — 10(l)(7) subsection rows,,,,,,,,,,
Under Sec. 10(e) total,47,11,36,33,15,10,1,22,0,14
10(e) subsection rows,,,,,,,,,,
