row_label,Total proceedings,"Injunction proceedings — Pending in district court Oct 1, 1979",Injunction proceedings — Filed in district court fiscal year 1980,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept 30, 1980"
Under Sec 10(e) Total,10,,10,10,4,5,1,,,,0
Under Sec 10(j) Total,58,8,50,45,23,7,9,9,3,2,13
Under Sec 10(l) Total,227,32,195,206,81,6,89,9,9,12,21
