Division and State,All cases,All ULP cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
South Atlantic — West Virginia,613,551,431,91,20,3,0,1,5,56,45,2,9,2,0,4
South Atlantic — North Carolina,381,303,203,59,3,0,0,0,0,70,55,3,12,5,0,3
South Atlantic — Florida,871,743,454,138,43,0,0,1,0,115,99,6,11,4,1,8
South Atlantic TOTAL,4022,3511,2455,792,108,30,6,4,23,478,385,21,75,16,0,23
East South Central — Kentucky,624,525,408,115,12,7,0,0,1,71,60,4,7,18,0,9
East South Central TOTAL,1709,1500,1123,255,37,7,1,1,5,209,169,8,26,60,2,16
West South Central — Texas,1109,961,690,183,61,4,0,2,9,135,113,8,14,1,0,10
West South Central TOTAL,1770,1536,1118,319,75,7,0,3,14,224,183,9,32,4,0,10
Mountain — Colorado,472,415,339,65,8,1,0,0,2,51,35,5,11,0,0,6
Mountain TOTAL,1872,1581,1201,354,16,2,1,1,7,271,194,17,60,2,2,16
