Stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,37192,100,25326,100,9082,100,1745,100,367,100,144,100,57,100,471,100
Before issuance of complaint,32111,86.4,21175,83.6,8478,93.3,1536,88.0,355,96.7,116,80.5,48,84.1,403,85.7
"After issuance of complaint, before opening of hearing",3379,9.1,2734,10.8,403,4.4,100,5.7,10,2.7,19,13.2,4,7.0,39,8.3
