Expenditure category,Amount ($)
Salaries,2265823
Travel,319835
Communications,85917
Reporting,24265
Rent,188249
Furniture and equipment,26808
Supplies and materials,56723
Special and miscellaneous,10707
Transportation of things,2002
Total salaries and expenses,2980529
Printing and binding,203492
Grand total expenditures and obligations,3184021
