Division and State²,All cases,All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Pacific (division total),6079,5112,3762,1226,59,27,10,15,13,885,654,40,191,26,3,53
Outlying areas (total),406,303,254,44,2,3,0,0,0,96,85,0,11,1,0,6
"Total, all States and areas",38768,33107,25716,6491,507,199,44,29,85,5248,4148,155,945,113,22,278
