Type of case,Total elections — Number,Total elections — Percent,Consent — Number,Consent — Percent,Stipulated — Number,Stipulated — Percent,Regional director directed — Number,Regional director directed — Percent,Board ordered — Number,Board ordered — Percent
"All elections, total",20720,100.0,18046,87.1,704,3.4,654,3.1,1316,6.4
"All elections — Eligible voters, total",2341456,100.0,1712375,73.1,133844,5.7,276199,11.8,219038,9.4
"All elections — Valid votes, total",2004458,100.0,1466114,73.1,115540,5.8,231558,11.6,191206,9.5
NLRA R cases — total,75,100.0,9,12.0,3,4.0,,,63,84.0
NLRA R cases — Eligible voters,10704,100.0,770,7.2,268,2.5,,,9666,90.3
NLRA R cases — Valid votes,9250,100.0,656,7.1,237,2.6,,,8357,90.3
RC cases — total,5282,100.0,3495,66.2,620,11.7,,,1167,22.1
RC cases — Eligible voters,541283,100.0,249617,46.1,97966,18.1,,,193700,35.8
RC cases — Valid votes,476181,100.0,220779,46.4,86287,18.1,,,169115,35.5
RM cases — total,157,100.0,112,71.3,22,14.0,,,23,14.7
RM cases — Eligible voters,36774,100.0,15420,41.9,19251,52.4,,,2103,5.7
RM cases — Valid votes,30817,100.0,13473,43.7,15479,50.2,,,1865,6.1
RD cases — total,133,100.0,73,55.3,7,5.3,,,52,39.4
RD cases — Eligible voters,18773,100.0,5926,31.6,1848,9.8,,,10999,58.6
RD cases — Valid votes,17078,100.0,5533,32.4,1719,10.1,,,9826,57.5
UA cases — total,15074,100.0,14357,95.3,52,.3,654,4.3,11,.1
UA cases — Eligible voters,1733922,100.0,1440642,83.1,14511,.8,276199,15.9,2570,.1
UA cases — Valid votes,1471092,100.0,1225673,83.3,11818,.8,231558,15.7,2043,.1
