row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
30-CC-91,30-CC-91,"Bridge, Structural Iron Workers, Local 24 (Adolph Coors Co.)","Apr. 19, 1960",,,,"Apr. 21, 1960",,,"June 28, 1960"
36-CC-9,36-CC-9,"Silem Building & Construction Trades Council et al (Building Specialties of Salem, Inc.)","Apr. 21, 1960",,,,,,,
22-CC-86 (also 22-CD-36),22-CC-86; 22-CD-36,"Sheet Metal Workers, Local 10 (Metal Polishers Buffers & Plinters & Helpers, Local 104); *Teamsters Operating, Local 622 (Republic Wire Corp)","May 1, 1960",,,,"June 1, 1960",,,Withdrawn
Remaining ~17-18 cases on this page,,,,,,,,,,
