row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
19-CE-51,19-CE-51,"*Teamsters, Local 446 & Wausau Building & Construction Trades Council (Sieber Ready Mix Co)","Sept. 22, 1958",,,,"Aug. 13, 1959",,,"June 3, 1959"
19-CC-112,19-CC-112,"Carpenters, Local 1281 (& J Flooring Contractors)","Oct. 29, 1958",,,,,,,"May 4, 1960"
22-CC-92,22-CC-92,"Carpenters, Local 833 (Green Bend Lumber Corp & Laurie Construction Co)","June 8, 1959",,,,"Jan. 6, 1960",,,Settled
Remaining ~11 cases on this page,,,,,,,,,,
