Action taken,Total all,Remedial action taken by Employer — Total,Employer — Agreement of parties — Informal settlement,Employer — Agreement of parties — Formal settlement,Employer — Recommendation of trial examiner,Employer — Order of Board,Employer — Order of Court,Remedial action taken by Union — Total,Union — Agreement of parties — Informal settlement,Union — Agreement of parties — Formal settlement,Union — Recommendation of trial examiner,Union — Order of Board,Union — Order of Court
A. By number of cases involved — Notice posted,3253,2263,1301,88,1,509,364,990,666,102,0,140,53
Recognition or other assistance withdrawn from employer-dominated union; disestablished,67,67,35,8,0,17,0,,,,,,
Employees offered reinstatement,17,6,,,,,,,,,,,
Employees placed on preferential hiring list,1248,1248,817,65,0,200,132,,,,,,
Hiring hall rights restored,115,115,96,2,0,11,6,,,,,,
Objections to employment withdrawn,49,,,,,,,49,,,,,
Picketing ended,100,,,,,,,100,65,0,0,,
Work stoppages ended,349,,,,,,,349,282,32,,31,12
Collective bargaining begun,1728,1462,1067,27,0,158,121,266,153,19,,51,12
Backpay distributed,1656,1515,1118,61,1,220,138,141,64,30,,34,14
"Reimbursement of fees, dues, and fines",148,70,43,0,0,19,6,78,53,0,0,9,10
