Industrial group,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent,Valid votes cast / Number,Valid votes cast / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent
Mining,123,2.9,20396,1.9,29,23.6,66,53.7,11,8.9,17,13.8
"Transportation, communication, and other public utilities",344,8.2,41814,3.9,199,57.9,72,20.9,34,9.9,39,11.3
