row_label,col_1,col_2,col_3
7-RC-397 4-RC-239,"Ann Arbor Press, The. Ansley Radio & Tele-",13-RC-663,Automatic Paper Corp. Box
10-RC-244,vision Co. Appalachian Marble Co.,10-RC-593,"Auto Supply & Equip- ment Co., Inc."
36-RC-90,Apple Growers Asso- ciation.,8-RC-436,Bailey Department
10-RC-229,Aragon-Baldwin Mills.,,"Stores Co., The."
13-RC-656,Archer Iron Works,21-RC-603,Baker Ice Machine Co.
2-RC-705,"Arden, Elizabeth Inc.",,"Baldwin Co., The"
21-RC-680,"Arizona Times, Inc.",9-RC-127 21-RC-481,"Ball Bros. Co., of Cali-"
15-RC-192,Arkansas Pipeline Corp.,,"fornia, Inc."
2-RC-1096,Arko Products Inc.,35-RC-185,Ball Brothers Co.
2-RC-597,Armour & Co.,20-RC-361,"Ballentine Produce Co.,"
10-RC-209,Armour & Co.,,Inc.
10-RC-533,Armour & Co.,5-RC-287,Baltimore Steam Packet
13-RC-408,Armour & Co.,,Co.
18-RC-149,Armour & Co.,1-RC-793,Bangor Auto Body
18-RC-173,Armour & Co.,,Shop.
18-RC-314,Armour & Co.,1-RC-846,"Bangor Egg Co., Inc."
21-RC-583,Armour & Co.,13-RC-453,"Barnes, John S., Corp."
30-RC-97,Armour & Co.,15-RC-94,Barnett Optical Corp.
35-RC-89,Armour & Co.,2-RC-584,"Barrow, H. Co., Inc."
4-RC-201,Armour Fertilizer,5-RC-265,"Barry, Martin J., Inc."
,Works.,17-RG-372,Bar-Tack Manufactur-
6-RC-75 21-RC-393,"Armstrong Cork Co. Arrowhead & Puritas Water, Inc.",1-RC-939,"ing Co. Bartlett, F. A., Tree Export Co., The."
10-RC-302 4-RC-176,"Artcraft Co., Inc. Artcraft Hosiery Sales Corp.",10-RC-552,"Bassett's Dairy Products, Inc. Baugh & Sons Co."
9-RC-364,Ashland Coca-Cola Bot- tling Co.,4-RC-272 16-RC-361,"Beatrice Foods Co. Beaunit Mills, Inc."
1-RC-279,Associated Electronic,10-RC-544 21-RC-616,Bechtel Corp.
,"Enterprises, Inc.",1-RC-514,"Belle Moccasin, Inc."
20-RC-545,"Associated Garage, Frank W. Boyle. Associated Shoe Indus-",10-RC-532,"Bell, S. D., Dental Manufacturing Co.,"
1-RC-529,tries of Southeastern Massachusetts.,19-RC-135 13-RC-418,Inc. Bell Wyman Co. Belmont Radio Corp.
2-RC-336,Astor Packing Co. Athens Brush Co.,,Belvedere Hotel Corp. Benrus Watch Co.
2-RC-538,,5-RC-216,
9-RC-459,Athens Home Tele-,1-RC-425 9-RC-291,"Bentwood Products,"
,"phone Co., The. Atkinson, Guy F., Co.",7-RC-294,"Inc. Beurmann -Marshall,"
19-RC-138 19-RC-247,"Atkinson, Guy F., Co., & Jones, J. A. Con-",1-RC-782,"Inc. Bigelow-Sanford Carpet Co., Inc."
"19-RC-192,",struction Co.,5-RC-327,Biggs Antique Co. Biltmore
,Atkinson & Jones Co. Atlanta Coca-Cola Bot-,34-RC-87,Manufactur- ing Co.
10-RC452,tling Co.,15-RC-190,Binswanger Mirror Co. Birdsall-Stockdale
10-RC-545,Atlanta Metallic Casket Co.,30-RC-107 10-RC-243,Motor Co. Birmingham Paper Co.
39-RC-55,"Atlantic Commission Co., Inc.",8-RC-262,"Bliss, E. W., Co."
3-RC-250,"Atlantic States Gas Co. of New York, Inc.",10-RC-273,"Block Brothers, George Block."
16-RC-330 18-RC-367,Atlas Life Insurance Co.,13-RC-444,Block & Kuhl Depart-
13-RC-672,Atlas Plywood Corp. Atlas Tag Co.,2-RC-887,ment Store. Bloomingdale
1-RC-931,Atwood Motor Co.,,Brothers Inc.
13-RC-340 3-RC-119,Austin Western Co. Auto-Lite Battery Corp.,21-RC-496,Blue Diamond Corp.
7-RC-508,Auto-Lite Battery Corp.,10-RC-230,"Boaz Mills, Inc."
35-RC-231,Auto-Lite Battery Corp.,18-RC-69,Boggs Manufacturing Co.
13-RC-373,Automatic Electric Co.,,Boland & Cornelius Co.
,Automatic Electric Co.,3-RC-148,
13-RC-404,,,
