row_label,Elections and cross checks / Number,Elections and cross checks / Percent,Winner / A. F. of L. Number,Winner / A. F. of L. Percent,Winner / C. I. O. Number,Winner / C. I. O. Percent,Winner / Unaffiliated Number,Winner / Unaffiliated Percent,Winner / No union Number,Winner / No union Percent,Eligible voters in all elections and cross checks / Number,Eligible voters in all elections and cross checks / Percent,Valid votes cast in all elections and cross checks / Number,Valid votes cast in all elections and cross checks / Percent
Mining,152,2.2,65,42.8,43,28.3,5,3.3,39,25.6,11236,1.2,9913,
Construction,34,.5,14,41.2,6,17.6,3,8.8,11,32.4,,,,
Wholesale trade,408,5.9,171,42.4,84,20.6,47,11.5,102,25.0,,,,
Retail trade,200,2.9,85,42.5,33,16.5,28,14.0,54,27.0,,,,
"Finance, insurance, and real estate",12,.2,5,41.7,,,,,,,,,,
"Transportation, communication, and other public utilities",576,8.3,235,40.8,116,20.1,91,16.2,122,21.4,78196,8.4,64728,8.0
