row_label,Action taken,Total all,Remedial action taken by Employer / Total,Remedial action taken by Employer / Pursuant to Agreement of parties - Informal settlement,Remedial action taken by Employer / Pursuant to Agreement of parties - Formal settlement,Remedial action taken by Employer / Pursuant to Agreement of parties - Recommendation of trial examiner,Remedial action taken by Employer / Pursuant to Order of Board,Remedial action taken by Employer / Pursuant to Order of Court,Remedial action taken by Union / Total,Remedial action taken by Union / Pursuant to Agreement of parties - Informal settlement,Remedial action taken by Union / Pursuant to Agreement of parties - Formal settlement,Remedial action taken by Union / Pursuant to Agreement of parties - Recommendation of trial examiner,Remedial action taken by Union / Pursuant to Order of Board,Remedial action taken by Union / Pursuant to Order of Court
A. By number of cases involved — Notice posted,4728,2041,1243,104,134,294,266,647,402,8,76,70,65,26
A. Section A,,,,,,,,,,,,,,
"B. By number of employees affected — Employees offered reinstatement, total",5875,5081,4367,305,229,462,445,794,,,,,,
B. Section B,,,,,,,,,,,,,,
"C. By amounts of monetary recovery — Backpay including all monetary payments except fees, dues, and fines",2762360,2711260,780910,104160,327810,824890,868310,7000,,,,,2220,40460
"C. Reimbursement of fees, dues, and fines",,,,,,,,,,,,,,
