row_label,col_1,col_2
I. Unfair labor practice cases:,,
A. Major stages,completed-,
1.Filing of charge to issuance of Complaint,1.Filing of charge to issuance of Complaint,52
2. Complaint to close of hearing,2. Complaint to close of hearing,180
3. Close of hearing to issuance of administrative law judge's decision,3. Close of hearing to issuance of administrative law judge's decision,128
4. Administrative law judge's decision to issuance of Board decision,4. Administrative law judge's decision to issuance of Board decision,241
5.Piling of charge to issuance of Board decision,5.Piling of charge to issuance of Board decision,503
"B. Age' of cases pending administrative law judge's decision, September 30, 1994","B. Age' of cases pending administrative law judge's decision, September 30, 1994",406
"C. Age of cases pending Board decision, September 30, 1994","C. Age of cases pending Board decision, September 30, 1994",758
IL Representation cases:,IL Representation cases:,
A. Major stages completed-,A. Major stages completed-,
1.Filing of petition of notice of hearing issued,1.Filing of petition of notice of hearing issued,7
2. Notice of hearing to close of hearing,2. Notice of hearing to close of hearing,14
3. Close of hearing to-,3. Close of hearing to-,
Board decision issued,Board decision issued,236
Regional Director's decision issued,Regional Director's decision issued,23
4. Filing of petition to-,4. Filing of petition to-,
,Board decision issued,310
Regional Director's decision issued,Regional Director's decision issued,45
"B. Age2 of cases pending Board decision, September 30, 1994","B. Age2 of cases pending Board decision, September 30, 1994",152
"C. Age , of cases pending Regional Director's decision, September 30, 1994","C. Age , of cases pending Regional Director's decision, September 30, 1994",131
