Object class,Amount
Personnel compensation,11479151
Personnel benefits,705330
Travel and transportation of persons,926542
Transportation of things,49872
Communication services,401944
Rents and utility services,139898
Printing and reproduction,292124
Other services,627755
Supplies and materials,206286
Equipment,277025
"Total, obligations and expenditures",15105927
