Division and State,Number of elections,Election won by — A.F. of L. affiliates,Election won by — C.I.O. affiliates,Election won by — Unaffiliated unions,Election won by — No union,Eligible voters,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
South Atlantic — Virginia,64,10,18,5,22,7166,6457,1781,1332,2330,1014
South Atlantic — North Carolina,39,14,21,1,5,8453,8123,1621,4521,,1461
South Atlantic — Florida,25,11,1,2,11,2389,2395,1073,,941,
East South Central,156,60,29,18,49,28705,26489,,,,2397
West South Central,141,63,14,26,38,23288,19747,5068,6188,4131,4360
West South Central — Texas,53,32,4,11,12,13206,10892,2996,2569,3483,2594
Mountain,133,64,12,7,47,8824,6824,2178,1414,456,1841
Mountain — Colorado,62,36,6,5,17,4902,3823,911,73,87,163
Pacific,333,105,84,75,69,21769,20443,5547,6944,5329,5613
Pacific — California,280,113,89,70,38,,,,,,
Outlying areas,24,7,1,0,16,2313,1859,281,196,0,1047
Outlying areas — Alaska,0,0,0,0,0,0,0,0,0,0,0
Outlying areas — Hawaii,10,0,1,0,9,903,705,134,,,
Outlying areas — Puerto Rico,14,,,0,,1381,1133,147,196,,
