Method and stage of disposition,All C cases Number,All C cases Percent,CA cases Number,CA cases Percent,CB cases Number,CB cases Percent,CC cases Number,CC cases Percent,CD cases Number,CD cases Percent,CE cases Number,CE cases Percent,CG cases Number,CG cases Percent,CP cases Number,CP cases Percent
Adopting administrative law judge's decision (no exceptions filed),185,0.6,172,0.9,11,0.2,1,0.0,,,,,1,0.7,,
Contested,555,1.9,397,2.1,108,1.5,33,1.6,8,1.3,,,,,6,1.9
Withdrawal,10606,35.4,6750,35.3,2839,38.3,787,37.5,146,24.0,10,1.8,26,,48,36.8
Before issuance of complaint,10347,34.6,6585,34.4,2792,37.7,765,36.4,,,,,25,30.9,171,35.6
Dismissal,10855,36.4,6966,30.5,3385,45.6,337,16.0,,,,,31,38.3,114,23.7
10(k) actions (see table 7A for details of disposition),338,,,,,,,,338,94.8,,,,,,
