Industrial groups,Elections and cross-checks / Number,Elections and cross-checks / Percent,Valid votes cast / Number,Valid votes cast / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent
Total,4919,100.0,893758,100.0,1620,32.9,1898,38.6,560,11.4,841,17.1
Manufacturing,3915,79.6,783158,87.6,1288,32.9,1633,41.7,391,10.0,603,15.4
Mining,154,2.7,12435,1.4,33,21.4,52,33.8,24,17.9,25,16.2
