row_label,col_1,col_2,col_3,col_4
2-RC-955,United States,Gypsum,10-RC-422,"Valdosta Milling Co., Inc."
6-RC-193,Co. United States Co.,Gypsum,14-RC-201 20-RC-110,Valier-Spies Milling Co. Valley Truck & Tractor
7-RC-44,United States,Gypsum,,Co.
7-RC-424,Co. United States Co.,Gypsum,10-11C-320 9-RC-102,"Vance Iron & Steel Co. Victor Electric Prod- ucts, Inc."
13-RC-167,United States,Gypsum,1-RC-656 1-RC-622,"Victory Plastics Co. Vmer Brothers, Inc."
13-RC-196,Co. United States,Gypsuin,5-RC-173,"Virginia Stage Lines, Inc."
15-RC-37,Co. United States,Gypsum,32-RC-102,"Volney Felt Mills, Inc."
16-RC-61,Co. United States,Gypsum,38-RC-21,WIAC Radio Station.
16-RC-142,Co. United States,Gypsum,34-RC-85 5-RC-244,"WPTF Radio Co, The WQQW Radio Station, Inc."
17-11C-107,Co. United States,Gypsum,15-RC-108,"WSMB, Inc."
18-RC-86,Co. United States Co.,Gypsum,8-RC-177 18-RC-192,"WSRS, Inc. Wahkonsa Foundry."
18-110-129,United States Co.,Gypsum,32-RC-54,"Walnut Ridge Manu- facturing Co. Warners Brothers Co.,"
20-RC-178,United States,Gypsum,1-RC-732,The.
20-RC-191,Co. United States Co.,Gypsum,10-RC-56,"Warwick Lumber Co., Paul Gill & R. H. Van Landingham Co-"
21-RC-327,United States Co.,Gypsum,,partners.
21-RC-358,United States Co.,Gypsum,19-RC-144 9-110-267,Wasatch Oil Co. Washington Overall Manufacturing Co.
21-11C-633,United States Co.,Gypsum,34-RC-103,Washington Tobacco Co.
10-110-566,United States Foundry Co.,Pipe &,18-11C-136,Waters-Conley Co. Watson Flagg Machine
5-RC-38,United States Co.,Rubber,2-RC-881,Co.
13-RC-342,United States,Rubber,7-110-374,"Watts & Whelan Co., Inc."
13-RC-414,Co. United States,Rubber,3-RC-167 2-RC-237,"Weed & Co. Weir, Sherman, Inc."
21-RC-239,Co. United States Co.,Rubber,5-RC-80 13-RC-32,"Welding Shipyards, Inc. Wells Fargo Carloading Co."
32-RC-122,United,States Rubber,18-11C-297,"Wells, J. W., Lumber Co."
34-RC-53,"Co. United States Co., Seaboard Stev-",Rubber,15-RC-211,West Brook Manufac- turing Co.
1a-RC-577,ens Plant. Universal Exploration,ens Plant. Universal Exploration,21-11C-348 19-RC-89,West Coast Supply Co. West Tacoma News Print Paper Co.
17-11C-262 13-RC-567,Co. Universal Sales Co.,Co. Universal Sales Co.,5-RC-153,West Virginia Pulp & Paper Co.
17-RC-242,"Universal Tool & Die Works, Inc. Universal",Trailer &,1-RC-559,Western Auto Supply Co.
2-11C-474,Manufacturing Corp. Universal Steel Equip-,Manufacturing Corp. Universal Steel Equip-,18-RC-26 13-RC-511,"Western Electric Co. Western Electric Co.,"
19-RC-137,ment Co. Utah & Idaho Sugar Co.,ment Co. Utah & Idaho Sugar Co.,35-RC-175,"Inc. Western Electric Co., Inc."
36-RC-17,"V-M Timber Co., Van- couver Plywood &","V-M Timber Co., Van- couver Plywood &",39-RC-18 7-110-84,Western Steel Co. Western Tablet & Sta-
33-RC-66,"Veneer Co. Vaio, M., & Sons.","Veneer Co. Vaio, M., & Sons.",36-RC-232,"tionery Corp., Kala- mazoo Stationery Co."
,,,,Western Veneer Co.
