row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
-as 3111 U,U a,A,,A g A mo A,R =,000-.1,v,NIGINN,,Nw100m-
teas 1 .tii. 31 '`c',teas 1 .tii. 31 '`c',co,,000■NA,"0,",000N■,N N0N0,m,0000-.0,0000-.0
Nil. q 1 g a a,Nil. q 1 g a a,00,,"00,,-.0",n,"....""",,,"..,","..,"
O g 1 a 2 X g 5 1 0 g 1 7- .24,,'R X,SASAPA,'0 -,,A,"°""Vm",,,
O g 1 a 2 X g 5 1 0 g 1 7- .24,,Nat N n,Re.: N •-■ N A,p,en N0*,A,NN0N,.4.,.-. N 0 0 N 0,.-. N 0 0 N 0
O g 1 a 2 X g 5 1 0 g 1 7- .24,,gg g g,"AAAn82 m,4m-m-",n n,AR4MA,E,alt gg,g,VPA'A',VPA'A'
O g 1 a 2 X g 5 1 0 g 1 7- .24,ca RA.,A g,AARAZA .4 r4 a -• en N,R en .,ASS42,S,VSAA,R V,"AS""A'","AS""A'"
12. U 1 § N i A,00,,;14) . t . sa0',m,0 ■ 00m,,0-0,N,000000,000000
8,00,,N00000,I s,00000,0,000,,,
w U,,00,,,,,,,,
a a,,"..,",74 mmm A g,2,"0000.,",g,"0-,0",g,0000-0,0000-0
8,"0,,,",m en,-1c 22AR mr.,A m,0000N,N,N0.410,4,"""No."".","""No.""."
M,,A W,M8 0 AAA Inv..* wt..,§ Ni,AAATA N,A mi.,AQSA N,A M,"AR'""A""","AR'""A"""
6,WWM o n,n,"VINMM... 4...1,7 : Inna",VI o 'm. so,"NWONN■ .-ow,a1 N '..","N -. "".","MW.-.0, m.p.g.,.",N N .-7,",-,..."" .AMNNAN",",-,..."" .AMNNAN"
: 1 U,1 Eri,R e4,"PS'AA .....-.... .: _,.. 1 ...",A WI,"SAA2A ■(......NO,",2 W,G=AS ■N■,S,==RRSA,==RRSA
r- 4 1,r- 4 1,gg g ■N N .1,"AnG g R g WINV,M0 el - 7 A' ei . -","'6"" 7 cf","SASS§ .-.,., ..:",A o 4,"AAAS n,.,,- .",§ a,p4AZA,
0 S A 1 b 1 0. I A 41,g : s,I. a : i,. : e A,: > E .,• • • • • . • : . : 1 A,• . 5. a a giii,: . . • . • : : : . : . ! : ! Vid',".. •- c-,1 g",. : . . . . • . . . . • : • . • i . : : . g . •,• • : • S : : DO 0 F.
