Union affiliation,Elections in which a representative was redesignated / Employees eligible to vote,Elections in which a representative was redesignated / Total valid votes cast,Elections in which a representative was redesignated / Percent casting valid votes,Elections in which a representative was redesignated / Votes cast for winning union,Elections in which a representative was redesignated / Votes cast for no union,Elections resulting in decertification / Employees eligible to vote,Elections resulting in decertification / Total valid votes cast,Elections resulting in decertification / Percent casting valid votes,Elections resulting in decertification / Votes cast for losing union,Elections resulting in decertification / Votes cast for no union
Total,3333,2937,88.1,1862,1075,4045,3597,88.9,1207,2390
A.F.L.,432,398,92.1,253,145,2369,2140,90.3,687,1453
C.I.O.,2640,2313,87.6,1466,847,1044,907,86.9,369,538
Unaffiliated,261,226,86.6,143,83,632,550,87.0,151,399
