Union affiliation,Elections in which union participated / Number,Elections in which union participated / Number of eligible voters,Elections in which union participated / Number of valid votes cast,Election won by union / Number,Election won by union / Percent of elections in which union participated,Valid votes cast for union / Number,Valid votes cast for union / Percent of total votes in elections in which union participated
A. F. of L.,2197,535157,427557,1500,68.3,199989,46.8
C. I. O.,2594,961301,789138,1890,72.9,445528,56.5
Unaffiliated,969,440318,351402,593,61.2,183066,52
