Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Unfair labor practice cases / All cases (subtotal),Unfair labor practice cases / Other,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Representation cases / All R subtotal,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
All industries — manufacturing and non-manufacturing — totals row,,,,,,,,,,,,,,,,,,,
Food and kindred products,2046,,,,,,,,,,,,,,,,,,
Tobacco manufactures,47,,,,,,,,,,,,,,,,,,
Textile mill products,568,,,,,,,,,,,,,,,,,,
Manufacturing — subtotal banner,21480,,,,,,,,,,,,,,,,,,
