row_label,Division and State,Number of elections,AFL affiliates won,CIO affiliates won,Unaffiliated unions won,No union won,Employees eligible to vote,Total valid votes cast,Valid votes for AFL affiliates,Valid votes for CIO affiliates,Valid votes for Unaffiliated unions,Valid votes for No union,Employees in units choosing representation
New England — total,12,1,2,0,9,226,200,60,47,0,183,82,
Middle Atlantic — total,17,0,2,0,15,908,857,29,26,0,802,527,
East North Central — total,28,2,10,1,15,1964,1784,263,597,127,797,1428,
West North Central — total,6,1,0,0,5,458,443,111,84,0,244,102,
South Atlantic — total,13,2,5,0,6,2942,2665,81,1523,0,1061,2365,
