Standard Federal Region,All cases,Unfair labor practice cases / All C cases,Representation cases / CA,Union deauthorization cases / CB,Amendment of certification cases / CC,Unit clarification cases / CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
"Region I, II, III (continued)",,,,,,,,,,,,,,,,
