Industrial group,Total elections,Total elections won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Number of employees eligible to vote,Total valid votes cast,Total votes for unions,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Votes for no union,Eligible employees in units choosing representation
Mining (total),90,43,15,5,18,5,47,4189,3756,2165,679,199,787,650,1591,1326
"Transportation, communication, and other utilities",1022,517,238,225,19,35,505,31090,27386,14454,7910,5002,787,788,12932,14750
Services (total),1584,876,575,128,21,152,708,102337,82386,41599,27859,4696,577,9052,42974,55884
"Total, all industrial groups",8084,3861,2165,1167,263,266,4223,475404,418247,191901,121956,29360,11990,28595,219033,173385
"Industry detail rows (Metal mining, Coal mining, Crude petroleum, Mining of nonmetallic, Construction, Wholesale, Retail, Finance, Hotels, Personal services, Auto repair, Health, Educational, Membership, Misc)",,,,,,,,,,,,,,,,
