Section of the Act,Description of Charge / Petition
8(a)(1) [Employer],"Interfere with, restrain, or coerce employees in exercise of their rights under Section 7 (to join or assist a labor organization or to refrain)."
8(a)(2) [Employer],Dominate or interfere with the formation or administration of a labor organization or contribute financial or other support to it.
8(a)(3) [Employer],Encourage or discourage membership in a labor organization (discrimination in regard to hire or tenure).
8(a)(4) [Employer],Discourage or otherwise discriminate against an employee because he has given testimony under the Act.
8(a)(5) [Employer],Refuse to bargain collectively with representatives of his employees.
8(b)(1)(A) [Union],Restrain or coerce employees in exercise of their rights under Section 7 (to join or assist a labor organization or to refrain).
8(b)(1)(B) [Union],Restrain or coerce an employer in the selection of his representatives for collective bargaining or adjustment of grievances.
8(b)(2) [Union],Cause or attempt to cause an employer to discriminate against an employee.
8(b)(3) [Union],Refuse to bargain collectively with employer.
8(b)(5) [Union],Require of employees the payment of excessive or discriminatory fees for membership.
8(b)(6) [Union],Cause or attempt to cause an employer to pay or agree to pay money or other thing of value for services which are not performed or not to be performed.
8(b)(4) [Union — Secondary Boycott],"TO ENGAGE IN, OR INDUCE ANY INDIVIDUAL EMPLOYED BY COMMERCE OR IN AN INDUSTRY AFFECTING COMMERCE TO ENGAGE IN A STRIKE OR A CONCERTED REFUSAL IN THE COURSE OF HIS EMPLOYMENT TO USE, MANUFACTURE, PROCESS, TRANSPORT, OR OTHERWISE HANDLE OR WORK ON ANY GOODS, ARTICLES, MATERIALS, OR COMMODITIES; OR TO PERFORM ANY SERVICES; OR (ii) TO THREATEN, COERCE, OR RESTRAIN ANY PERSON ENGAGED IN COMMERCE OR IN AN INDUSTRY AFFECTING COMMERCE: WHERE IN EITHER CASE AN OBJECT IS:"
8(b)(4)(A),To force or require any employer or self-employed person to join any labor or employer organization or to enter into any agreement prohibited by Sec. 8(e).
8(b)(4)(B),"To force or require any person to cease using, selling, handling, transporting, or otherwise dealing in the products of any other producer, processor, or manufacturer, or cease to do business with any other person, or force or require any other employer to recognize or bargain with a labor organization as the representative of his employees unless such labor organization has been so certified."
8(b)(4)(C),To force or require any employer to recognize or bargain with a particular labor organization as the representative of his employees if another labor organization has been certified as the representative.
9(c)(1)(A)(i) [Petition — RC],Asserting the designation of filing party as bargaining agent.
9(c)(1)(B) [Petition — RM],Alleging that one or more claims for recognition as exclusive bargaining agent have been received by the employer.
