row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Accepted Declined,"2,726 1,022","2,726 1,022","1,980 535",121 50,103 45,117 128,405 264,,,,_ __ _,,
Employees placed on preferential hiring list,618,618,533,62,2,13,8,,,,,,
Hiring hall rights restored,42,,,,,,,,,,,,
Objections to employ- ment withdrawn Employees receiving,1193,,,_,,,,1193,99,24,1,1063,6
backpay.. From either em- ployer or union,6213,6166,3606,362,213,526,1559,42,35,4,0,0,3
From both em- ployer and union Employees reimbursed,12,12,9,0,0,0,3,12,9,0,0,0,3
"for fees, dues, and fines: From either em- ployer or union",4699,4507,787,133,62,538,2997,192,184,0,0,8,0
From both em- ployer and union,271,271,4,48,0,134,85,271,4,48,0,134,85
"C. By amounts of mone- tary recovery, total",4527.320,4378.330,1234610,125660,172770,519170,2326120,148990,60420,31060,8160,11210,38140
"Backpay (includes all monetary payments except fees, dues, and fines) Reimbursement of",4370430,4239410,1221020,123600,172010,506040,2216740,131020,62230,30520,4130,6000,38140
"fees, dues, and fines",156890,138920,13590,2060,760,13130,109380,17.970,8190,540,4030,5210,0
