Category,Total — Number,Total — Percent by type,By employer — Number,By employer — Percent by type,By union — Number,By union — Percent by type,By both parties — Number,By both parties — Percent by type
All representation elections,264,100.0,83,31.4,175,66.3,6,2.3
RC cases,220,100.0,74,33.6,142,64.6,4,1.8
RM cases,5,100.0,2,40.0,2,40.0,1,20.0
RD cases,39,100.0,7,17.9,31,79.5,1,2.6
Consent elections,3,100.0,1,33.3,2,66.7,0,
Stipulated elections,202,100.0,60,29.7,138,68.3,4,2.0
Expedited elections,2,100.0,1,50.0,1,50.0,0,
Regional Director-directed elections,57,100.0,21,36.8,34,59.7,2,3.5
Board-directed elections,0,,0,,0,,0,
