Standard Federal Regions / State,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
Region V — Total (Midwest IL/IN/MI/MN/OH/WI),2357,1240,,,,,,119914,,,,,,,,
Region VI — Total (AR/LA/NM/OK/TX),669,336,,,,,,,,,,,,,,
Region VII — Total (IA/KS/MO/NE),578,281,,,,,,,,,,,,,,
Region VIII — Total (CO/MT/ND/SD/UT/WY),247,104,,,,,,,,,,,,,,
Region IX — Total (AZ/CA/HI/NV+Guam),1355,700,,,,,,,,,,,,,,
Region X — Total (AK/ID/OR/WA),468,251,,,,,,,,,,,,,,
"Total, all Federal regions",9369,4786,2651,1542,316,277,4583,541445,480303,244232,154282,48756,23658,17536,236071,233874
